` 	Area	Mean	Min	Max	X	Y
1	0	0	0	0	12.750	7.750
2	0	0	0	0	23.250	7.625
3	0	0	0	0	37.375	8.500
4	0	0	0	0	47.250	5.750
5	0	0	0	0	43.875	16.875
6	0	0	0	0	34.250	17.875
7	0	0	0	0	24.625	19.625
8	0	0	0	0	16.500	23.625
9	0	0	0	0	6.875	15.750
10	0	0	0	0	6.875	23.625
11	0	0	0	0	5	32.500
12	0	0	0	0	15	31.875
13	0	0	0	0	29.625	34.625
14	0	0	0	0	40.625	31.750
15	0	0	0	0	47.375	26.250
16	0	0	0	0	49	43.750
17	0	0	0	0	39.750	43.500
18	0	0	0	0	30.625	43.250
19	0	0	0	0	23	45.750
20	0	0	0	0	21.750	38.250
21	0	0	0	0	15.375	41.625
22	0	0	0	0	8.125	37.375
23	0	0	0	0	6.250	44.625
